,groups,target,when,super_hero_group,tracking,place,tracking_times,crystal_type,unnamed_7,human_behavior_report,human_measure,crystal_weight,expected_factor_x,previous_factor_x,first_factor_x,expected_final_factor_x,final_factor_x,previous_adamantium,unnamed_17,etherium_before_start,expected_start,start_process,start_subprocess1,start_critical_subprocess1,predicted_process_end,process_end,subprocess1_end,reported_on_tower,opened,chemical_x,raw_kryptonite,argon,pure_seastone,crystal_supergroup,cycle
0,0,1.233766234,09/07/2020,D,84941,1,1,group 56,1,4,700,350.6301,1610,1630.300049,1595.0,1565.0,1572.0,0.0309,1595.0,,09/07/2020 15:08,09/07/2020 15:11,09/07/2020 15:16,09/07/2020 15:18,09/07/2020 15:49,09/07/2020 15:39,09/07/2020 15:38,09/07/2020 15:53,44021.6737,21.96666667,3570.0,0.0,99.94,0,2ª
1,0,2.467532468,09/07/2020,D,84951,1,1,group 56,2,4,800,347.4298,1609,1638.099976,1608.0,1565.0,1568.0,,1608.0,,09/07/2020 16:15,09/07/2020 16:16,09/07/2020 16:20,09/07/2020 16:22,09/07/2020 16:54,09/07/2020 16:42,09/07/2020 16:41,09/07/2020 16:54,44021.70867,21.16666667,7950.0,0.0,91.49,0,2ª
2,0,3.701298701,09/07/2020,D,84971,1,1,group 56,7,3,700,333.1576,1622,1614.099976,1587.0,1571.0,1576.0,0.052,1587.0,,09/07/2020 18:22,09/07/2020 18:24,09/07/2020 18:31,09/07/2020 18:33,09/07/2020 19:02,09/07/2020 18:47,09/07/2020 18:47,09/07/2020 18:55,09/07/2020 19:02,15.25,807.0,0.0,,0,2ª
3,0,4.935064935,09/07/2020,D,84981,1,1,group 27,17,3,700,362.3764,1620,1618.199951,1599.0,1579.0,1590.0,0.28,1599.0,,09/07/2020 19:14,09/07/2020 19:12,09/07/2020 19:16,,09/07/2020 20:13,09/07/2020 19:37,09/07/2020 19:37,09/07/2020 19:47,09/07/2020 20:20,20.56666667,,0.0,509.19,0,2ª
4,0,6.168831169,09/07/2020,B,84991,1,1,group 56,12,3,720,349.7962,1634,1640.5,1617.0,1583.0,1589.0,0.0406,1617.0,,09/07/2020 20:59,09/07/2020 20:59,09/07/2020 21:03,09/07/2020 21:04,09/07/2020 21:37,09/07/2020 21:35,09/07/2020 21:35,09/07/2020 21:51,09/07/2020 22:09,32.01666667,1026.0,0.0,127.79,0,2ª
5,0,7.402597403,09/07/2020,B,85001,1,1,group 56,1,4,480,351.6399,1614,1632.199951,1601.0,1566.0,1573.0,0.0436,1601.0,,09/07/2020 21:58,09/07/2020 22:03,09/07/2020 22:12,09/07/2020 22:15,09/07/2020 22:41,09/07/2020 22:34,09/07/2020 22:33,09/07/2020 22:44,09/07/2020 23:03,21.03333333,3924.0,0.0,60.18,0,2ª
6,0,8.636363636,09/07/2020,B,85011,1,1,group 56,17,4,650,366.1621,1608,1605.099976,1591.0,1567.0,1574.0,0.0484,1591.0,,09/07/2020 23:02,09/07/2020 23:02,09/07/2020 23:07,09/07/2020 23:13,09/07/2020 23:40,09/07/2020 23:24,09/07/2020 23:23,09/07/2020 23:34,10/07/2020 00:04,15.85,2052.0,0.0,,0,2ª
7,0,9.87012987,09/07/2020,B,85021,1,1,group 56,2,4,540,359.1497,1621,1626.0,1602.0,1568.0,1576.0,0.063,1602.0,,09/07/2020 23:51,09/07/2020 23:51,09/07/2020 23:54,09/07/2020 23:56,10/07/2020 00:33,10/07/2020 00:16,10/07/2020 00:16,10/07/2020 00:28,10/07/2020 01:07,21.83333333,3588.0,0.0,,0,2ª
8,0,11.1038961,10/07/2020,B,85031,1,1,group 56,7,3,400,353.9597,1626,1631.800049,1613.0,1572.0,1582.0,0.053,1613.0,,10/07/2020 01:12,10/07/2020 01:09,10/07/2020 01:11,10/07/2020 01:13,10/07/2020 01:50,10/07/2020 01:31,10/07/2020 01:28,10/07/2020 01:41,10/07/2020 02:08,16.48333333,3888.0,0.0,,0,2ª
9,0,12.33766234,10/07/2020,B,85071,1,1,group 27,1,3,660,351.3928,1634,1621.400024,1612.0,1594.0,1603.0,0.247,1612.0,,10/07/2020 04:37,10/07/2020 04:35,10/07/2020 04:36,10/07/2020 04:39,10/07/2020 05:30,10/07/2020 05:06,10/07/2020 05:02,10/07/2020 05:27,10/07/2020 06:00,25.38333333,,120.5554174,627.62,0,2ª
10,0,13.57142857,10/07/2020,B,85081,1,1,group 27,8,3,380,350.0628,1616,1592.900024,1588.0,1582.0,1578.0,0.321,1588.0,,10/07/2020 05:35,10/07/2020 05:43,10/07/2020 05:46,,10/07/2020 06:22,10/07/2020 06:17,10/07/2020 06:14,10/07/2020 06:33,10/07/2020 06:57,28.26666667,,151.9363641,654.42,0,2ª
11,0,14.80519481,10/07/2020,B,85101,1,1,group 27,6,1,520,327.4321,1645,1649.300049,1623.0,1591.0,1598.0,0.0339,1623.0,,10/07/2020 07:45,10/07/2020 07:41,10/07/2020 07:43,,10/07/2020 08:12,10/07/2020 08:02,10/07/2020 08:00,10/07/2020 08:10,10/07/2020 08:41,16.81666667,1452.0,0.0,104.78,0,2ª
12,0,16.03896104,10/07/2020,D,85111,1,1,group 27,7,4,550,346.9613,1612,1633.599976,1623.0,1579.0,1584.0,,1623.0,,10/07/2020 08:35,10/07/2020 08:42,10/07/2020 08:47,10/07/2020 08:49,10/07/2020 09:11,10/07/2020 09:12,10/07/2020 09:09,10/07/2020 09:18,10/07/2020 09:37,22.7,5547.0,0.0,595.2,0,2ª
13,0,17.27272727,10/07/2020,D,85121,1,1,group 27,9,4,680,347.5939,1607,1621.699951,1594.0,1578.0,1582.0,0.296,1594.0,,10/07/2020 09:43,10/07/2020 09:41,10/07/2020 09:45,10/07/2020 09:48,10/07/2020 10:07,10/07/2020 10:03,10/07/2020 10:00,10/07/2020 10:14,10/07/2020 10:31,14.96666667,5028.0,0.0,556.25,0,2ª
14,0,18.50649351,10/07/2020,D,85161,1,1,group 27,12,3,690,357.5651,1638,1638.599976,1619.0,1603.0,1606.0,0.201,1619.0,,10/07/2020 14:03,10/07/2020 14:03,10/07/2020 14:06,,10/07/2020 14:29,10/07/2020 14:27,10/07/2020 14:26,10/07/2020 14:37,10/07/2020 15:29,20.2,795.0,0.0,476.95,0,2ª
