index,when,super_hero_group,tracking,place,tracking_times,crystal_type,Unnamed_7,human_behavior_report,human_measure,crystal_weight,expected_factor_x,previous_factor_x,first_factor_x,expected_final_factor_x,final_factor_x,previous_adamantium,Unnamed_17,etherium_before_start,expected_start,start_process,start_subprocess1,start_critical_subprocess1,predicted_process_end,process_end,subprocess1_end,reported_on_tower,opened,chemical_x,raw_kryptonite,argon,pure_seastone,crystal_supergroup,Cycle,groups,target
0,9/7/2020,D,84921,1,1,group 27,2,3,-0.046891897,0.256040609,-0.48351249,0.111270541,0.097069015,-0.039669496,-0.263158866,0.139814793,0.097069015,3.07599998,9/7/2020 13:10,9/7/2020 13:08,9/7/2020 13:11,9/7/2020 13:13,9/7/2020 13:41,9/7/2020 13:28,9/7/2020 13:27,9/7/2020 13:37,44021.58091,15.85,-0.938164371,-3.458910737,-0.94942559,0,2ª,0,0
1,9/7/2020,D,84941,1,1,group 56,1,4,0.311548239,0.693626564,-0.78015795,0.339913221,0.02190733,-0.607000532,-0.576824036,-0.419143992,0.02190733,326.2000122,9/7/2020 15:08,9/7/2020 15:11,9/7/2020 15:16,9/7/2020 15:18,9/7/2020 15:49,9/7/2020 15:39,9/7/2020 15:38,9/7/2020 15:53,44021.6737,21.96666667,0.856327677,-0.00767111,-0.618571019,0,2ª,0,1.233766234
2,9/7/2020,D,84951,1,1,group 56,2,4,0.863685739,0.429101193,-0.844894945,0.648954499,0.55719393,-0.606199356,-0.720131594,-0.019133524,0.55719393,326.2000122,9/7/2020 16:15,9/7/2020 16:16,9/7/2020 16:20,9/7/2020 16:22,9/7/2020 16:54,9/7/2020 16:42,9/7/2020 16:41,9/7/2020 16:54,44021.70867,21.16666667,1.741828919,-0.008595384,-0.654891922,0,2ª,0,2.467532468
3,9/7/2020,D,84971,1,1,group 56,7,3,0.324843344,-0.688263554,-0.277277001,-0.262168639,-0.293117202,-0.378400186,-0.357027578,0.04744766,-0.293117202,326.2000122,9/7/2020 18:22,9/7/2020 18:24,9/7/2020 18:31,9/7/2020 18:33,9/7/2020 19:02,9/7/2020 18:47,9/7/2020 18:47,9/7/2020 18:55,9/7/2020 19:02,15.25,-0.858255004,-0.010074252,0.08830641,0,2ª,0,3.701298701
4,9/7/2020,D,84981,1,1,group 27,17,3,0.325665219,1.536115609,-0.351788053,-0.108464233,0.192652381,0.060610025,0.557698344,0.555179103,0.192652381,326.2000122,9/7/2020 19:14,9/7/2020 19:12,9/7/2020 19:16,,9/7/2020 20:13,9/7/2020 19:37,9/7/2020 19:37,9/7/2020 19:47,9/7/2020 20:20,20.56666667,0.134729102,-0.0119229,0.420466783,0,2ª,0,4.935064935
5,9/7/2020,B,84991,1,1,group 56,12,3,0.494311232,0.627016308,0.12777107,0.733612721,0.912065549,0.391476595,0.482112289,-0.184416511,0.912065549,326.2000122,9/7/2020 20:59,9/7/2020 20:59,9/7/2020 21:03,9/7/2020 21:04,9/7/2020 21:37,9/7/2020 21:35,9/7/2020 21:35,9/7/2020 21:51,9/7/2020 22:09,32.01666667,-0.722308308,-0.012107769,-0.495255687,0,2ª,0,6.168831169
6,9/7/2020,B,85001,1,1,group 56,1,4,-1.056473682,0.760748049,-0.561237224,0.405777434,0.273488297,-0.58824313,-0.528649205,-0.12777107,0.273488297,326.2000122,9/7/2020 21:58,9/7/2020 22:03,9/7/2020 22:12,9/7/2020 22:15,9/7/2020 22:41,9/7/2020 22:34,9/7/2020 22:33,9/7/2020 22:44,9/7/2020 23:03,21.03333333,0.924957453,-0.009704531,-0.859414468,0,2ª,0,7.402597403
7,9/7/2020,B,85011,1,1,group 56,17,4,0.025421306,1.778679832,-0.889595091,-0.583553295,-0.14944109,-0.532568388,-0.48024829,-0.053748433,-0.14944109,326.2000122,9/7/2020 23:02,9/7/2020 23:02,9/7/2020 23:07,9/7/2020 23:13,9/7/2020 23:40,9/7/2020 23:24,9/7/2020 23:23,9/7/2020 23:34,10/7/2020 0:04,15.85,0.512650796,-0.00637715,0.089051617,0,2ª,0,8.636363636
8,9/7/2020,B,85021,1,1,group 56,2,4,-0.646985504,1.341667797,-0.328339361,0.183651672,0.292915788,-0.502605461,-0.382031253,0.12758319,0.292915788,326.2000122,9/7/2020 23:51,9/7/2020 23:51,9/7/2020 23:54,9/7/2020 23:56,10/7/2020 0:33,10/7/2020 0:16,10/7/2020 0:16,10/7/2020 0:28,10/7/2020 1:07,21.83333333,0.86018873,-0.001201476,0.089424257,0,2ª,0,9.87012987
9,10/7/2020,B,85031,1,1,group 56,7,3,-1.467447838,0.942190905,-0.16042251,0.390184511,0.747365919,-0.309716134,-0.003234753,0.059867968,0.747365919,326.2000122,10/7/2020 1:12,10/7/2020 1:09,10/7/2020 1:11,10/7/2020 1:13,10/7/2020 1:50,10/7/2020 1:31,10/7/2020 1:28,10/7/2020 1:41,10/7/2020 2:08,16.48333333,0.918043804,-0.001756005,0.087747569,0,2ª,0,11.1038961
