groups,target,when,super_hero_group,tracking,place,tracking_times,crystal_type,unnamed_7,human_behavior_report,human_measure,crystal_weight,expected_factor_x,previous_factor_x,first_factor_x,expected_final_factor_x,final_factor_x,previous_adamantium,etherium_before_start,expected_start,start_process,start_subprocess1,start_critical_subprocess1,predicted_process_end,process_end,subprocess1_end,reported_on_tower,opened,chemical_x,raw_kryptonite,argon,pure_seastone,crystal_supergroup,cycle,NA_crystal_weight,NA_first_factor_x,NA_final_factor_x,NA_previous_adamantium,NA_etherium_before_start,NA_expected_start,NA_start_subprocess1,NA_start_critical_subprocess1,NA_predicted_process_end,NA_process_end,NA_subprocess1_end,NA_reported_on_tower,NA_opened,NA_chemical_x,NA_raw_kryptonite,NA_argon,NA_pure_seastone,NA_groups
45,63.42281879,2019-01-05,Y,11111.0,2,1,group 67,19,4,490.0,343.0873,1656.0,1633.900024,1607.300049,1601.0,1601.300049,0.305,617.2999878,2019-01-05 02:13:00,2019-01-05 02:16:00,2019-01-05 02:20:00,2019-01-05 02:28:00,2019-01-05 02:56:00,2019-01-05 02:55:00,2019-01-05 02:51:00,2019-01-05 03:09:00,2019-01-05 03:27:00,30.71666667,992.0,141.2319341,547.42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,85.33333333,2019-01-05,Y,11121.0,1,1,group 67,2,4,600.0,339.6572,1636.0,1617.300049,1588.0,1581.0,1589.0,0.31,475.5,2019-01-05 03:01:00,2019-01-05 02:59:00,2019-01-05 03:02:00,2019-01-05 03:07:00,2019-01-05 03:41:00,2019-01-05 03:34:00,2019-01-05 03:33:00,2019-01-05 03:48:00,2019-01-05 04:28:00,31.06666667,1815.0,0.0,444.43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,65.23489933,2019-01-05,Y,513171.0,2,1,group 67,1,2,760.0,332.4556,1665.0,1607.199951,1581.0,1590.0,1594.199951,0.279,822.7999878,2019-01-05 03:41:00,2019-01-05 03:39:00,2019-01-05 03:43:00,2019-01-05 03:53:00,2019-01-05 04:34:00,2019-01-05 04:26:00,2019-01-05 04:24:00,2019-01-05 04:44:00,2019-01-05 05:28:00,41.08333333,1815.0,401.6014099,672.66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,86.66666667,2019-01-05,Y,513181.0,1,1,group 67,7,1,800.0,337.6479,1669.0,1591.5,1555.0,1596.0,1596.0,0.286,215.5,2019-01-05 04:48:00,2019-01-05 04:47:00,2019-01-05 04:51:00,2019-01-05 05:04:00,2019-01-05 05:38:00,2019-01-05 05:47:00,2019-01-05 05:44:00,2019-01-05 05:55:00,2019-01-05 06:18:00,52.75,1815.0,1226.072194,1110.12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,67.04697987,2019-01-05,Y,513191.0,2,1,group 67,19,4,750.0,321.6899,1639.0,1605.699951,1579.900024,1584.0,1585.800049,0.286,604.0999756,2019-01-05 05:47:00,2019-01-05 05:50:00,2019-01-05 05:54:00,2019-01-05 05:57:00,2019-01-05 06:30:00,2019-01-05 06:28:00,2019-01-05 06:26:00,2019-01-05 06:44:00,2019-01-05 07:14:00,32.58333333,1815.0,123.2100597,544.39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,88.0,2019-01-05,Y,513201.0,1,1,group 67,2,4,700.0,346.7228,1641.0,1623.400024,1601.0,1586.0,1581.0,0.244,391.8999939,2019-01-05 06:37:00,2019-01-05 06:39:00,2019-01-05 06:43:00,2019-01-05 06:47:00,2019-01-05 07:29:00,2019-01-05 07:19:00,2019-01-05 07:15:00,2019-01-05 07:50:00,2019-01-05 08:08:00,32.18333333,2073.0,0.0,426.59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,68.8590604,2019-01-05,B,11161.0,2,1,group 67,10,1,650.0,341.7474,1657.0,1625.599976,1597.0,1592.0,1587.900024,0.283,565.2000122,2019-01-05 08:15:00,2019-01-05 08:11:00,2019-01-05 08:14:00,2019-01-05 08:23:00,2019-01-05 08:51:00,2019-01-05 08:50:00,2019-01-05 08:46:00,2019-01-05 08:59:00,2019-01-05 09:06:00,32.31666667,1815.0,131.2665888,486.82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,89.33333333,2019-01-05,B,11181.0,1,1,group 202,12,3,700.0,325.807,1632.0,1630.0,1598.0,1580.0,1578.0,0.0432,268.5,2019-01-05 10:23:00,2019-01-05 10:30:00,2019-01-05 10:33:00,2020-01-08 05:54:00,2019-01-05 11:25:00,2019-01-05 10:59:00,2019-01-05 10:51:00,2019-01-05 11:14:00,2019-01-05 11:38:00,17.36666667,1815.0,0.0,355.17,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
35,90.66666667,2019-01-05,B,11211.0,1,1,group 202,10,3,650.0,345.4912,1630.0,1635.800049,1596.0,1580.0,1585.0,0.0034,268.5,2019-01-05 12:50:00,2019-01-05 12:53:00,2019-01-05 12:56:00,2020-01-08 05:54:00,2019-01-05 13:27:00,2019-01-05 13:18:00,2019-01-05 13:10:00,2019-01-05 13:50:00,2019-01-05 14:15:00,13.6,1815.0,0.0,148.27,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
35,92.0,2019-01-05,B,11221.0,1,1,group 202,7,3,650.0,340.1534,1631.0,1616.699951,1594.0,1581.0,1576.0,0.0434,268.5,2019-01-05 13:51:00,2019-01-05 13:54:00,2019-01-05 13:57:00,2019-01-05 14:11:00,2019-01-05 14:34:00,2019-01-05 14:29:00,2019-01-05 14:21:00,2019-01-05 14:46:00,2019-01-05 15:06:00,24.45,1815.0,116.7278074,107.83,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
